"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.000000000E-2,-1.099999994E-3,2.999999851E-4,-1.181999967E-1,1.182054957E-1
2.000000000E-2,-1.970000006E-2,-8.899999782E-3,-8.869999647E-2,9.129616297E-2
3.000000000E-2,-9.200000204E-3,9.800000116E-3,-1.083999947E-1,1.092302103E-1
4.000000000E-2,-8.200000040E-3,8.599999361E-3,-9.860000014E-2,9.931344329E-2
5.000000000E-2,-1.549999975E-2,7.400000002E-3,-9.860000014E-2,1.000848141E-1
6.000000000E-2,-4.799999762E-3,-1.899999916E-3,-8.879999816E-2,8.894992789E-2
7.000000000E-2,-4.100000020E-3,-1.399999950E-3,-8.879999816E-2,8.890562229E-2
8.000000000E-2,-1.150000002E-2,-9.099999443E-3,-9.860000014E-2,9.968460272E-2
9.000000000E-2,-9.599999525E-3,4.999999655E-4,-9.869999439E-2,9.916702518E-2
1.000000000E-1,0.000000000E0,3.999999899E-4,-8.879999816E-2,8.880089906E-2
1.100000000E-1,-1.999999949E-4,3.999999899E-4,-8.879999816E-2,8.880112428E-2
1.200000000E-1,7.499999832E-3,8.299999870E-3,-9.860000014E-2,9.923255526E-2
1.300000000E-1,-1.999999862E-3,1.429999992E-2,-8.879999816E-2,8.996626963E-2
1.400000000E-1,-1.699999906E-3,-1.950000040E-2,-8.879999816E-2,9.093173093E-2
1.500000000E-1,-1.599999960E-3,0.000000000E0,-8.879999816E-2,8.881441141E-2
1.600000000E-1,6.199999712E-3,2.999999851E-4,-8.879999816E-2,8.901668198E-2
1.700000000E-1,-2.899999963E-3,3.999999899E-4,-6.920000166E-2,6.926189594E-2
1.800000000E-1,-2.399999881E-3,7.799999788E-3,-6.920000166E-2,6.967955386E-2
1.900000000E-1,-1.169999968E-2,-1.799999969E-3,-7.899999619E-2,7.988197162E-2
2.000000000E-1,-1.699999906E-3,6.699999794E-3,-8.879999816E-2,8.906862338E-2
2.100000000E-1,-1.500000013E-3,-2.199999988E-3,-7.899999619E-2,7.904485687E-2
2.200000000E-1,-1.399999950E-3,6.199999712E-3,-9.860000014E-2,9.880465588E-2
2.300000000E-1,-8.899999782E-3,-2.499999944E-3,-7.909999788E-2,7.963836802E-2
2.400000000E-1,2.999999851E-4,-1.699999906E-3,-7.899999619E-2,7.901885469E-2
2.500000000E-1,-7.299999706E-3,-1.300000004E-3,-5.949999765E-2,5.996023445E-2
2.600000000E-1,1.599999960E-3,6.499999668E-3,-6.929999590E-2,6.962254970E-2
2.700000000E-1,7.999999798E-4,-1.260000002E-2,-8.889999986E-2,8.979203737E-2
2.800000000E-1,3.999999899E-4,-2.099999925E-3,-7.909999788E-2,7.912888009E-2
2.900000000E-1,0.000000000E0,-1.500000013E-3,-7.899999619E-2,7.901423541E-2
3.000000000E-1,-7.799999788E-3,-9.999999311E-4,-7.909999788E-2,7.948993434E-2
3.100000000E-1,1.119999960E-2,-4.999999655E-4,-6.929999590E-2,7.020099303E-2
3.200000000E-1,8.999999845E-4,-1.999999949E-4,-6.920000166E-2,6.920614300E-2
3.300000000E-1,4.999999655E-4,7.400000002E-3,-6.920000166E-2,6.959633776E-2
