"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
0.000000000E0,-1.137054265E-1,5.884948000E-2,-9.937047958E0
3.998437000E-3,-1.147876084E-1,6.546705216E-2,-9.933810234E0
7.998437000E-3,-1.109377295E-1,6.077441573E-2,-9.921054840E0
1.200000000E-2,-1.084860712E-1,6.355168670E-2,-9.920921326E0
1.600000000E-2,-1.208976060E-1,7.414364070E-2,-9.917079926E0
1.999843700E-2,-1.234067306E-1,6.849332154E-2,-9.916256905E0
2.399843700E-2,-1.213860214E-1,6.585012376E-2,-9.911248207E0
2.799843700E-2,-1.299285442E-1,7.042783499E-2,-9.900847435E0
3.200000000E-2,-1.360193938E-1,4.974193498E-2,-9.928697586E0
3.599843700E-2,-1.130446270E-1,4.980897158E-2,-9.919791222E0
3.999843700E-2,-9.564357251E-2,4.888959974E-2,-9.929520607E0
4.399843700E-2,-1.239238828E-1,4.647624120E-2,-9.922318459E0
4.800000000E-2,-1.204379201E-1,5.655104294E-2,-9.920921326E0
5.199843700E-2,-1.271321177E-1,7.285077125E-2,-9.930976868E0
5.599843700E-2,-1.284441352E-1,6.025726721E-2,-9.913814545E0
5.999843700E-2,-1.272566020E-1,6.250781566E-2,-9.910002708E0
6.400000000E-2,-1.301296502E-1,5.950070173E-2,-9.898549080E0
6.799843700E-2,-1.213956028E-1,5.063257739E-2,-9.913431168E0
7.199843700E-2,-1.160613224E-1,5.437710881E-2,-9.921620369E0
7.600000000E-2,-1.151515245E-1,6.680780649E-2,-9.922002792E0
7.999843700E-2,-1.041573510E-1,5.996038765E-2,-9.930536270E0
8.399843700E-2,-1.248145252E-1,5.401319265E-2,-9.903164864E0
8.799843700E-2,-1.278790981E-1,5.593812838E-2,-9.908498764E0
9.200000000E-2,-1.197866946E-1,7.272627205E-2,-9.907101631E0
9.599843700E-2,-1.284824312E-1,5.742253363E-2,-9.909333229E0
9.999843700E-2,-1.102098897E-1,5.369715393E-2,-9.900923729E0
1.039984370E-1,-1.166933924E-1,4.888001829E-2,-9.905932426E0
1.080000000E-1,-1.133031994E-1,4.843948781E-2,-9.913096428E0
1.119984370E-1,-1.127381697E-1,6.155971438E-2,-9.905118942E0
1.159984370E-1,-1.102769300E-1,5.758533999E-2,-9.902935982E0
1.199984370E-1,-1.192120910E-1,4.993347079E-2,-9.884270668E0
1.240000000E-1,-1.160517409E-1,5.407065153E-2,-9.900885582E0
1.279984370E-1,-1.130925119E-1,7.359776646E-2,-9.915087700E0
1.319984370E-1,-1.283579469E-1,5.646485090E-2,-9.914093018E0
1.359984370E-1,-1.207539588E-1,5.757576227E-2,-9.897821426E0
1.400000000E-1,-1.177851483E-1,5.424303561E-2,-9.915548325E0
1.439984370E-1,-1.329548061E-1,5.299805105E-2,-9.897811890E0
1.479984370E-1,-1.213860214E-1,4.519294947E-2,-9.907426834E0
1.520000000E-1,-1.287984699E-1,5.604347214E-2,-9.892209053E0
1.560000000E-1,-1.150366068E-1,6.560112536E-2,-9.912397385E0
1.600000000E-1,-1.183597594E-1,5.805460364E-2,-9.909246445E0
1.640000000E-1,-1.147971824E-1,5.508579314E-2,-9.912118912E0
1.680000000E-1,-1.122114509E-1,4.468537867E-2,-9.909170151E0
1.720000000E-1,-1.144619957E-1,4.153461009E-2,-9.909907341E0
1.760000000E-1,-1.243069544E-1,4.120900109E-2,-9.909975052E0
1.800000000E-1,-1.225256622E-1,5.069961399E-2,-9.901871681E0
1.840000000E-1,-1.092617884E-1,5.451118574E-2,-9.906737328E0
1.880000000E-1,-1.254178584E-1,6.169379130E-2,-9.907695770E0
1.920000000E-1,-1.194515079E-1,4.385219887E-2,-9.904908180E0
1.960000000E-1,-1.204858124E-1,5.020162091E-2,-9.899190903E0
2.000000000E-1,-1.256668568E-1,5.911763012E-2,-9.911917686E0
2.040000000E-1,-1.321886629E-1,4.492479935E-2,-9.915433884E0
2.080000000E-1,-1.219031736E-1,6.349422783E-2,-9.906507492E0
2.120000000E-1,-1.321886629E-1,6.027641892E-2,-9.911698341E0
2.160000000E-1,-1.220659763E-1,5.414726585E-2,-9.893933296E0
2.200000000E-1,-1.167412698E-1,4.778826609E-2,-9.906737328E0
2.240000000E-1,-1.355597079E-1,6.879020482E-2,-9.903797150E0
2.280000000E-1,-1.126136705E-1,5.381207541E-2,-9.899248123E0
2.320000000E-1,-1.256668568E-1,4.678269848E-2,-9.905177116E0
2.360000000E-1,-1.159942821E-1,5.464525893E-2,-9.896087646E0
2.400000000E-1,-1.067909673E-1,6.619488448E-2,-9.895876884E0
2.440000000E-1,-1.168178841E-1,5.850471184E-2,-9.906593323E0
