"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
1.538510000E-1,1.815142459E-3,2.373647876E-3,-2.443460980E-4
1.568510000E-1,-6.108652451E-4,1.151917269E-3,-2.443460980E-4
1.608510000E-1,-6.108652451E-4,-5.235987919E-5,-2.443460980E-4
1.648510000E-1,-6.108652451E-4,-5.235987919E-5,-2.443460980E-4
1.688510000E-1,-6.108652451E-4,1.151917269E-3,-2.687806962E-3
1.728510000E-1,-6.108652451E-4,-5.235987919E-5,-1.466076588E-3
1.768510000E-1,-6.108652451E-4,-1.274090377E-3,9.599310579E-4
1.808510000E-1,-1.832595677E-3,-1.274090377E-3,-2.443460980E-4
1.848510000E-1,5.934119690E-4,1.151917269E-3,-1.466076588E-3
1.888510000E-1,-4.276056774E-3,1.151917269E-3,-2.443460980E-4
1.928510000E-1,-1.832595677E-3,-1.274090377E-3,-2.687806962E-3
1.968510000E-1,-5.235987483E-4,0.000000000E0,-1.186823938E-3
2.008510000E-1,-8.726646192E-4,1.570796303E-4,-1.378810150E-3
2.048510000E-1,-9.599310579E-4,2.094395168E-4,-9.773843922E-4
2.088510000E-1,-6.806784077E-4,2.094395168E-4,-8.726646192E-4
2.128510000E-1,-7.679448463E-4,2.094395168E-4,-8.377580671E-4
2.168510000E-1,-4.886921961E-4,2.094395168E-4,-1.134464052E-3
2.208510000E-1,-5.585053586E-4,6.632251316E-4,-1.064650831E-3
2.248510000E-1,-2.792526793E-4,3.316125658E-4,-1.640609466E-3
2.288510000E-1,6.806784077E-4,-3.490658492E-5,-1.500983140E-3
2.328510000E-1,1.919862116E-4,-7.330382941E-4,-2.617993741E-4
2.368510000E-1,-2.268928074E-4,-6.283185212E-4,-9.773843922E-4
2.408510000E-1,-3.490658419E-4,0.000000000E0,-1.029744279E-3
2.448510000E-1,-5.235987483E-4,6.108652451E-4,-1.640609466E-3
2.488510000E-1,-1.221730490E-4,1.989675453E-3,-1.204277156E-3
2.528510000E-1,1.221730490E-4,1.274090377E-3,-9.250245057E-4
2.568510000E-1,-3.263765713E-3,5.235987919E-5,-2.617993741E-4
2.608510000E-1,1.570796361E-3,1.815142459E-3,-1.291543595E-3
2.648510000E-1,-1.692969352E-3,1.692969352E-3,-9.599310579E-4
2.688510000E-1,-4.171337001E-3,5.585053470E-3,-1.326450263E-3
2.728510000E-1,-2.443460980E-3,1.308996929E-3,-9.599310579E-4
2.768510000E-1,-3.019419499E-3,9.424777818E-4,-8.726646192E-4
2.808510000E-1,5.585053586E-4,-2.443460980E-3,-1.151917269E-3
2.848510000E-1,-5.934119690E-4,-1.064650831E-3,-1.064650831E-3
2.888510000E-1,-4.363323096E-4,3.490658492E-5,-8.901178953E-4
2.928510000E-1,-9.948377265E-4,4.712388909E-4,-4.014257283E-4
2.968510000E-1,-8.552113432E-4,8.901178953E-4,-7.155850180E-4
3.008510000E-1,-5.061454722E-4,3.839724232E-4,-8.028514567E-4
3.048510000E-1,-7.155850180E-4,2.617993741E-4,-5.235987483E-4
3.088510000E-1,-1.378810150E-3,-5.061454722E-4,-6.108652451E-4
3.128510000E-1,-6.457717973E-4,-1.047197584E-4,-7.679448463E-4
3.168510000E-1,-4.537856148E-4,-1.570796303E-4,-1.570796361E-3
3.208510000E-1,-5.585053586E-4,-4.712388909E-4,-1.186823938E-3
3.248510000E-1,-8.726646192E-4,1.745329209E-4,-1.221730490E-3
3.288510000E-1,-2.775073517E-3,8.203047328E-4,-7.853981806E-4
3.328588120E-1,4.712388909E-4,-2.617993858E-3,-2.268928074E-4
3.368510000E-1,8.726646192E-4,-9.599310579E-4,-6.806784077E-4
3.408494370E-1,8.726646047E-5,-6.981316983E-5,-1.553343027E-3
3.448510000E-1,1.745329209E-4,-1.658062800E-3,-7.155850180E-4
3.488494370E-1,-8.726646047E-5,1.745329209E-4,-9.599310579E-4
3.528494370E-1,-4.537856148E-4,2.094395168E-4,-7.155850180E-4
3.568494370E-1,1.745329209E-4,2.094395168E-4,-8.028514567E-4
3.608510000E-1,-2.164208330E-3,1.413716702E-3,-1.134464052E-3
3.648510000E-1,-2.984513063E-3,-1.919862116E-4,-1.064650831E-3
3.688494370E-1,-2.967059845E-4,-3.316125658E-4,-8.901178953E-4
3.728494370E-1,-6.632251316E-4,6.981316983E-5,-8.552113432E-4
3.768510000E-1,-6.108652451E-4,3.490658477E-3,-8.377580671E-4
3.808494370E-1,-4.363323096E-4,1.378810150E-3,-3.839724232E-4
3.848510000E-1,-2.809980186E-3,1.867502346E-3,-7.155850180E-4
3.888494370E-1,-1.919862116E-3,2.303834539E-3,-5.061454722E-4
3.928510000E-1,-9.424777818E-4,4.537856148E-4,-5.934119690E-4
3.968494370E-1,3.490658419E-4,-2.967059845E-4,-4.712388909E-4
4.008494370E-1,-4.886921961E-4,2.268928074E-4,-5.934119690E-4
4.048510000E-1,-1.308996929E-3,6.806784077E-4,-1.221730490E-3
4.088510000E-1,-7.853981806E-4,-5.410520826E-4,-4.886921961E-4
4.128494370E-1,-1.919862116E-4,-1.221730490E-4,-2.967059845E-4
4.168494370E-1,6.981316837E-4,7.330382941E-4,-2.443460980E-4
4.208510000E-1,3.490658419E-4,6.457717973E-4,-9.773843922E-4
4.248510000E-1,-3.351032268E-3,2.583087189E-3,-1.029744279E-3
4.288494370E-1,-1.169370604E-3,3.543018363E-3,-8.901178953E-4
4.328494370E-1,-5.759586347E-4,1.692969352E-3,-8.552113432E-4
4.368510000E-1,-8.901178953E-4,1.570796303E-4,-5.410520826E-4
4.408494370E-1,-3.368485486E-3,2.321287990E-3,0.000000000E0
4.448510000E-1,-2.094394993E-3,-2.617993741E-4,1.221730490E-4
4.488494370E-1,-2.094395168E-4,-1.570796361E-3,-5.759586347E-4
4.528510000E-1,-7.853981806E-4,-5.410520826E-4,-7.679448463E-4
4.568494370E-1,-3.316125658E-4,1.064650831E-3,-8.203047328E-4
4.608494370E-1,-2.042035107E-3,7.504915702E-4,-8.377580671E-4
4.648510000E-1,2.094395168E-4,-9.948377265E-4,-8.377580671E-4
4.688510000E-1,-1.727875904E-3,1.117010717E-3,-8.377580671E-4
4.728510000E-1,-1.029744279E-3,1.396263397E-4,-8.377580671E-4
4.768494370E-1,-1.012290944E-3,-8.726646047E-5,-8.377580671E-4
4.808494370E-1,-2.443460980E-4,-2.967059845E-4,-8.377580671E-4
4.848510000E-1,-1.099557383E-3,-5.061454722E-4,-8.377580671E-4
4.888494370E-1,-1.029744279E-3,3.316125658E-4,-8.377580671E-4
4.928494370E-1,-9.948377265E-4,4.014257283E-4,-8.377580671E-4
4.968494370E-1,1.919862116E-4,7.155850180E-4,-8.377580671E-4
5.008510000E-1,8.028514567E-4,1.553343027E-3,-1.291543595E-3
5.048494370E-1,2.617993858E-3,-4.223696887E-3,-1.413716702E-3
5.088510000E-1,2.199114766E-3,-1.919862116E-4,-1.431170036E-3
5.128494370E-1,-4.537856148E-4,-1.745329246E-5,-9.948377265E-4
5.168510000E-1,-3.717551241E-3,7.504915702E-4,-8.726646192E-4
5.208494370E-1,-5.934119225E-3,9.599310579E-4,-8.552113432E-4
5.248494370E-1,-1.832595677E-3,-9.250245057E-4,5.235987919E-5
5.288494370E-1,-1.500983140E-3,6.632251316E-4,-5.934119690E-4
5.328510000E-1,-8.203047328E-4,3.490658492E-5,-7.679448463E-4
5.368494370E-1,5.410520826E-4,-1.762782573E-3,-3.665191471E-4
5.408494370E-1,2.268928103E-3,-1.204277156E-3,-1.012290944E-3
5.448494370E-1,1.396263397E-4,-1.623156248E-3,-2.792526793E-4
5.488510000E-1,-6.981316837E-4,4.712388909E-4,-8.377580671E-4
5.528494370E-1,-1.658062800E-3,4.363323096E-4,-9.948377265E-4
5.568494370E-1,-1.623156248E-3,-1.570796303E-4,-8.726646192E-4
5.608494370E-1,-1.169370604E-3,5.759586347E-4,-8.377580671E-4
5.648510000E-1,-7.330382941E-4,-1.029744279E-3,-8.377580671E-4
5.688494370E-1,-2.879793290E-3,-5.410520826E-4,-5.410520826E-4
5.728494370E-1,2.548180753E-3,-1.221730490E-4,-1.064650831E-3
5.768510000E-1,-6.632251316E-4,2.792526793E-4,-8.901178953E-4
5.808494370E-1,-4.537856148E-4,8.726646047E-5,-1.308996929E-3
5.848510000E-1,-5.585053586E-4,1.745329209E-4,-5.061454722E-4
5.888494370E-1,-1.221730490E-4,2.094395168E-4,-7.504915702E-4
5.928510000E-1,-1.221730490E-3,2.094395168E-4,-3.665191471E-4
5.968510000E-1,-9.075712296E-4,2.094395168E-4,-7.155850180E-4
6.008510000E-1,-9.773843922E-4,2.094395168E-4,-8.028514567E-4
6.048494370E-1,-8.726646047E-5,6.632251316E-4,-2.024581889E-3
6.088510000E-1,-7.504915702E-4,6.283185212E-4,-1.291543595E-3
6.128510000E-1,-4.886921961E-4,4.712388909E-4,-9.599310579E-4
6.168510000E-1,-8.552113432E-4,2.792526793E-4,-8.726646192E-4
6.208510000E-1,-9.599310579E-4,2.443460980E-4,-8.377580671E-4
6.248510000E-1,-8.726646047E-5,-2.094395168E-4,-8.377580671E-4
6.288510000E-1,-4.537856148E-4,1.047197584E-4,-1.134464052E-3
6.328510000E-1,-2.495820867E-3,3.490658492E-5,-4.712388909E-4
6.368510000E-1,1.588249579E-3,-1.047197584E-4,-4.363323096E-4
6.408510000E-1,5.759586347E-4,4.642575979E-3,-7.330382941E-4
6.448510000E-1,-4.363323096E-4,1.815142459E-3,-1.117010717E-3
6.488510000E-1,-5.410520826E-4,6.283185212E-4,-6.108652451E-4
6.528510000E-1,-4.188790335E-4,6.283185212E-4,-1.082104165E-3
6.568510000E-1,-4.014257283E-4,-1.047197584E-4,-1.500983140E-3
6.608510000E-1,-6.806784077E-4,-1.570796303E-4,-1.012290944E-3
6.648510000E-1,-1.570796303E-4,-1.745329209E-4,-8.726646192E-4
6.688510000E-1,-1.745329209E-4,2.617993741E-4,-8.552113432E-4
6.728510000E-1,-3.316125658E-4,-5.235987919E-5,-8.377580671E-4
6.768510000E-1,-8.203047328E-4,1.396263397E-4,-8.377580671E-4
6.808510000E-1,-3.490658419E-4,1.919862116E-4,-8.377580671E-4
