"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
1.418650620E-1,-3.211405827E-3,-1.178097259E-2,1.972222002E-3
1.448510000E-1,-1.298524998E-2,1.141445339E-2,1.972222002E-3
1.488510000E-1,1.143190637E-2,1.640609466E-3,-1.675516134E-3
1.528510000E-1,1.021017600E-2,-1.422443334E-2,7.679448463E-4
1.568510000E-1,-1.176351868E-2,7.749261800E-3,-4.363323096E-4
1.608510000E-1,8.988445625E-3,2.862340072E-3,-2.879793290E-3
1.648510000E-1,4.363323096E-4,1.263618376E-2,-2.879793290E-3
1.688510000E-1,6.544984877E-3,-3.228859045E-3,7.679448463E-4
1.728510000E-1,1.658062800E-3,-7.679448463E-4,1.972222002E-3
1.768525620E-1,4.363323096E-4,-7.679448463E-4,7.504915702E-4
1.808510000E-1,2.879793290E-3,1.658062800E-3,-4.537856148E-4
1.848510000E-1,1.745329238E-3,5.410520826E-4,5.585053586E-4
1.888510000E-1,2.199114766E-3,6.457717973E-4,4.886921961E-4
1.928510000E-1,1.884955564E-3,5.235987483E-4,6.108652451E-4
1.968510000E-1,1.343903481E-3,3.490658419E-4,4.886921961E-4
2.008510000E-1,1.658062800E-3,5.934119690E-4,6.108652451E-4
2.048510000E-1,1.134464052E-3,9.773843922E-4,1.919862116E-4
2.088510000E-1,2.495820867E-3,4.537856148E-4,3.839724232E-4
2.128510000E-1,2.548180753E-3,3.316125658E-4,0.000000000E0
2.168510000E-1,1.832595677E-3,2.967059845E-4,1.745329209E-4
2.208510000E-1,4.031710327E-3,2.094394993E-3,-2.094395168E-4
2.248510000E-1,1.151917269E-3,3.612831468E-3,1.221730490E-4
2.288510000E-1,1.308996929E-3,8.552113432E-4,2.094395168E-4
2.328541250E-1,2.094394993E-3,5.759586347E-4,-1.919862116E-4
2.368510000E-1,1.850049011E-3,1.256637042E-3,1.221730490E-4
2.408510000E-1,2.548180753E-3,1.448623254E-3,2.094395168E-4
2.448510000E-1,3.612831468E-3,7.330382941E-4,-3.490658492E-5
2.488510000E-1,4.817108624E-3,3.124139272E-3,-4.188790335E-4
2.528510000E-1,3.455751808E-3,2.373647876E-3,3.665191471E-4
2.568510000E-1,8.726646047E-5,3.839724232E-3,1.396263397E-4
2.608510000E-1,2.234021435E-3,1.815142459E-3,-2.094395168E-4
2.648510000E-1,2.495820867E-3,1.727875904E-3,-1.745329246E-5
2.688510000E-1,2.548180753E-3,1.117010717E-3,-2.617993741E-4
2.728510000E-1,2.129301662E-3,6.457717973E-4,1.047197584E-4
2.768510000E-1,1.256637042E-3,3.839724232E-4,-2.268928074E-4
2.808510000E-1,8.395033889E-3,-4.939281847E-3,4.188790335E-4
2.848510000E-1,1.710422686E-3,2.443460980E-4,8.901178953E-4
2.888510000E-1,-3.211405827E-3,5.131267942E-3,4.188790335E-4
2.928510000E-1,1.745329246E-5,1.535889693E-3,2.967059845E-4
2.968510000E-1,1.919862116E-3,9.075712296E-4,-1.745329209E-4
3.008510000E-1,2.111848444E-3,5.934119690E-4,1.396263397E-4
3.048510000E-1,2.460914198E-3,1.274090377E-3,2.094395168E-4
3.088510000E-1,2.251474652E-3,1.745329238E-3,-1.919862116E-4
3.128510000E-1,2.792526735E-3,3.665191471E-4,1.221730490E-4
3.168510000E-1,1.431170036E-3,7.504915702E-4,6.632251316E-4
3.208510000E-1,1.972222002E-3,4.014257283E-4,-3.839724232E-4
3.248510000E-1,2.268928103E-3,3.141592606E-4,-2.094395168E-4
3.288510000E-1,1.745329238E-3,1.204277156E-3,7.330382941E-4
3.328510000E-1,2.513274085E-3,1.431170036E-3,3.665191471E-4
3.368510000E-1,1.658062800E-3,8.726646192E-4,2.792526793E-4
3.408510000E-1,1.291543595E-3,5.934119690E-4,2.617993741E-4
3.448510000E-1,1.343903481E-3,3.665191471E-4,6.981316837E-4
3.488510000E-1,7.504915702E-4,7.504915702E-4,3.665191471E-4
3.528510000E-1,1.797689125E-3,-3.490658492E-5,2.792526793E-4
3.568510000E-1,1.012290944E-3,9.424777818E-4,2.617993741E-4
3.608510000E-1,2.478367416E-3,6.108652451E-4,2.443460980E-4
3.648510000E-1,2.408554312E-3,6.632251316E-4,-1.919862116E-4
3.688510000E-1,1.937315450E-3,5.410520826E-4,1.221730490E-4
3.728510000E-1,1.204277156E-3,3.490658419E-4,2.094395168E-4
3.768510000E-1,1.169370604E-3,1.047197497E-3,2.443460980E-4
3.808510000E-1,1.308996929E-3,1.535889693E-3,2.443460980E-4
3.848510000E-1,7.504915702E-4,2.111848444E-3,2.443460980E-4
3.888510000E-1,1.186823938E-3,1.064650831E-3,2.443460980E-4
3.928510000E-1,1.919862116E-3,4.886921961E-4,2.443460980E-4
3.968510000E-1,9.075712296E-4,3.316125658E-4,6.981316837E-4
4.008510000E-1,1.832595677E-3,2.967059845E-4,6.632251316E-4
4.048510000E-1,2.391101094E-3,2.792526793E-4,5.061454722E-4
4.088510000E-1,2.373647876E-3,1.780235791E-3,3.141592606E-4
4.128510000E-1,1.919862116E-3,1.884955564E-3,2.617993741E-4
4.168510000E-1,2.705260413E-3,4.014257283E-4,6.981316837E-4
