"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
0.000000000E0,-1.223399997E0,6.627999544E-1,-1.379299998E0
1.000000000E-2,-3.999999899E-4,-9.999999747E-5,-1.176999956E-1
2.000000000E-2,-3.999999899E-4,9.200000204E-3,-9.809999913E-2
3.000000000E-2,8.399999700E-3,-4.999999655E-4,-9.809999913E-2
4.000000000E-2,1.609999873E-2,-3.999999899E-4,-1.078999937E-1
5.000000000E-2,1.349999942E-2,-8.599999361E-3,-8.829999715E-2
6.000000000E-2,-1.329999976E-2,8.999999845E-4,-9.809999913E-2
7.000000000E-2,-2.899999963E-3,8.799999952E-3,-9.809999913E-2
8.000000000E-2,5.399999674E-3,7.100000046E-3,-9.809999913E-2
9.000000000E-2,1.229999959E-2,-2.099999925E-3,-9.809999913E-2
1.000000000E-1,1.899999916E-3,-1.699999906E-3,-9.809999913E-2
1.100000000E-1,1.399999950E-3,-8.899999782E-3,-7.849999517E-2
1.200000000E-1,-6.799999624E-3,8.599999361E-3,-9.809999913E-2
1.300000000E-1,9.999999776E-3,-8.999999845E-4,-8.829999715E-2
1.400000000E-1,9.999999747E-5,6.899999920E-3,-8.829999715E-2
1.500000000E-1,-8.200000040E-3,-1.229999959E-2,-7.849999517E-2
1.600000000E-1,2.699999837E-3,-5.999999703E-4,-7.849999517E-2
1.700015620E-1,2.149999887E-2,-1.850000024E-2,-8.829999715E-2
1.800000000E-1,-6.399999838E-3,8.700000122E-3,-8.829999715E-2
1.900000000E-1,-5.200000014E-3,6.999999750E-3,-8.829999715E-2
2.000000000E-1,-4.199999850E-3,5.599999800E-3,-7.849999517E-2
2.100000000E-1,-3.399999812E-3,-3.099999856E-3,-8.829999715E-2
2.200000000E-1,1.239999942E-2,-9.899999946E-3,-7.849999517E-2
2.300000000E-1,1.179999951E-2,1.030000020E-2,-8.829999715E-2
2.400000000E-1,1.500000013E-3,-7.100000046E-3,-7.849999517E-2
2.500000000E-1,9.999999311E-4,9.999999776E-3,-8.829999715E-2
2.600000000E-1,5.999999703E-4,1.049999986E-2,-8.829999715E-2
2.700000000E-1,7.899999619E-3,6.999999750E-4,-7.840000093E-2
2.800000000E-1,-8.599999361E-3,7.799999788E-3,-5.879999697E-2
2.900000000E-1,1.300000004E-3,-4.999999655E-4,-7.849999517E-2
3.000000000E-1,7.999999798E-4,-4.999999655E-4,-8.829999715E-2
3.100000000E-1,-6.899999920E-3,-7.599999662E-3,-6.870000064E-2
3.200000000E-1,2.099999925E-3,9.499999695E-3,-7.849999517E-2
3.300000000E-1,-6.000000052E-3,7.599999662E-3,-7.849999517E-2
3.400000000E-1,-4.900000058E-3,-1.599999960E-3,-7.849999517E-2
3.500000000E-1,-3.899999894E-3,-8.799999952E-3,-7.849999517E-2
3.600000000E-1,1.239999942E-2,8.700000122E-3,-8.829999715E-2
3.700000000E-1,1.899999916E-3,-5.999999703E-4,-7.849999517E-2
3.800000000E-1,1.399999950E-3,7.199999876E-3,-7.849999517E-2
3.900000000E-1,-6.799999624E-3,-1.899999916E-3,-8.829999715E-2
4.000000000E-1,1.260000002E-2,7.899999619E-3,-7.849999517E-2
4.100000000E-1,2.799999900E-3,-1.599999960E-3,-6.870000064E-2
4.200000000E-1,2.499999944E-3,-1.399999950E-3,-7.849999517E-2
4.300000000E-1,2.499999944E-3,-1.199999941E-3,-7.849999517E-2
4.400000000E-1,2.499999944E-3,-8.999999845E-4,-8.829999715E-2
4.500000000E-1,2.399999881E-3,-1.040000003E-2,-6.870000064E-2
4.600000000E-1,1.209999993E-2,-4.999999655E-4,-8.829999715E-2
4.700000000E-1,-7.499999832E-3,9.399999864E-3,-6.870000064E-2
4.800000000E-1,-7.599999662E-3,-1.999999949E-4,-7.849999517E-2
4.900000000E-1,-7.699999958E-3,9.499999695E-3,-8.829999715E-2
5.000000000E-1,-7.799999788E-3,-9.699999355E-3,-6.870000064E-2
5.100000000E-1,1.150000002E-2,9.899999946E-3,-7.849999517E-2
5.200000000E-1,-1.889999956E-2,1.699999906E-3,-7.849999517E-2
5.300000000E-1,9.999999747E-5,1.099999994E-3,-7.849999517E-2
5.400000000E-1,0.000000000E0,-5.899999756E-3,-7.849999517E-2
5.500000000E-1,-9.999999747E-5,9.800000116E-3,-6.859999895E-2
5.600000000E-1,-1.459999941E-2,0.000000000E0,-6.870000064E-2
5.700000000E-1,3.499999875E-3,7.400000002E-3,-6.870000064E-2
5.800000000E-1,2.499999944E-3,5.699999630E-3,-6.870000064E-2
5.900000000E-1,-5.699999630E-3,4.399999976E-3,-6.870000064E-2
6.000000000E-1,-4.600000102E-3,-3.899999894E-3,-6.870000064E-2
6.100000000E-1,1.150000002E-2,-3.000000026E-3,-7.849999517E-2
6.200031250E-1,8.599999361E-3,5.200000014E-3,-6.859999895E-2
6.300000000E-1,8.399999700E-3,-4.299999680E-3,-7.840000093E-2
6.400000000E-1,8.299999870E-3,5.499999970E-3,-8.829999715E-2
6.500000000E-1,-1.599999960E-3,5.599999800E-3,-6.859999895E-2
6.600000000E-1,8.100000210E-3,5.699999630E-3,-7.840000093E-2
6.700000000E-1,1.779999956E-2,5.899999756E-3,-7.840000093E-2
6.800000000E-1,-1.899999916E-3,6.099999882E-3,-6.859999895E-2
6.900000000E-1,-1.899999916E-3,6.199999712E-3,-5.879999697E-2
7.000000000E-1,-1.899999916E-3,6.399999838E-3,-6.859999895E-2
7.100000000E-1,1.740000024E-2,6.599999964E-3,-6.859999895E-2
7.200000000E-1,-2.300000051E-3,-2.899999963E-3,-7.840000093E-2
7.300000000E-1,-2.300000051E-3,6.899999920E-3,-6.859999895E-2
7.400000000E-1,-2.399999881E-3,7.100000046E-3,-7.840000093E-2
7.500000000E-1,-2.600000007E-3,-2.499999944E-3,-7.840000093E-2
7.600000000E-1,-2.600000007E-3,-2.300000051E-3,-7.840000093E-2
7.700000000E-1,6.999999750E-3,7.599999662E-3,-6.859999895E-2
7.800000000E-1,-1.269999985E-2,-1.999999862E-3,-7.840000093E-2
7.900000000E-1,6.599999964E-3,7.899999619E-3,-6.859999895E-2
8.000000000E-1,-3.199999919E-3,7.999999449E-3,-6.859999895E-2
8.100000000E-1,-3.299999982E-3,-1.500000013E-3,-6.859999895E-2
8.200000000E-1,-3.499999875E-3,8.200000040E-3,-7.840000093E-2
8.300000000E-1,6.099999882E-3,-1.399999950E-3,-7.840000093E-2
8.400000000E-1,-3.700000001E-3,-1.199999941E-3,-6.859999895E-2
8.500000000E-1,-3.799999831E-3,-1.079999935E-2,-6.859999895E-2
8.600000000E-1,-3.799999831E-3,-7.999999798E-4,-6.859999895E-2
8.700000000E-1,5.699999630E-3,8.999999613E-3,-6.859999895E-2
8.800000000E-1,-1.379999984E-2,-4.999999655E-4,-6.859999895E-2
8.900000000E-1,-3.999999724E-3,9.399999864E-3,-6.859999895E-2
9.000000000E-1,-4.100000020E-3,-1.999999949E-4,-6.859999895E-2
9.100000000E-1,-2.369999886E-2,9.599999525E-3,-5.879999697E-2
9.200000000E-1,-1.379999984E-2,9.699999355E-3,-6.859999895E-2
9.300000000E-1,-4.199999850E-3,-9.599999525E-3,-7.840000093E-2
9.400000000E-1,-4.199999850E-3,9.999999747E-5,-6.859999895E-2
9.500000000E-1,-1.409999933E-2,-9.399999864E-3,-5.879999697E-2
9.600000000E-1,5.299999844E-3,1.030000020E-2,-6.859999895E-2
9.700000000E-1,-4.499999806E-3,6.999999750E-4,-7.840000093E-2
9.800000000E-1,5.099999718E-3,8.999999845E-4,-5.879999697E-2
9.900000000E-1,-4.600000102E-3,1.090000011E-2,-5.879999697E-2
1.000000000E0,-4.699999932E-3,1.109999977E-2,-6.859999895E-2
1.010000000E0,4.900000058E-3,1.129999943E-2,-7.840000093E-2
1.020000000E0,4.799999762E-3,1.699999906E-3,-6.859999895E-2
1.030000000E0,4.600000102E-3,1.139999926E-2,-3.920000046E-2
1.040000000E0,4.499999806E-3,1.799999969E-3,-1.078999937E-1
1.050000000E0,-1.529999916E-2,1.179999951E-2,-6.859999895E-2
1.060000000E0,-1.499999966E-2,1.169999968E-2,-4.899999872E-2
1.070000000E0,4.299999680E-3,2.099999925E-3,-9.809999913E-2
1.080000000E0,-5.599999800E-3,-7.299999706E-3,-5.879999697E-2
1.090000000E0,-2.489999868E-2,1.219999976E-2,-3.920000046E-2
1.100000000E0,1.389999967E-2,-6.999999750E-3,-9.809999913E-2
1.110000000E0,-5.599999800E-3,2.899999963E-3,-4.899999872E-2
1.120000000E0,-5.499999970E-3,2.899999963E-3,-6.859999895E-2
1.130000000E0,-5.599999800E-3,-6.399999838E-3,-8.819999546E-2
1.140000000E0,-5.699999630E-3,3.399999812E-3,-5.879999697E-2
1.150000000E0,-1.519999932E-2,3.499999875E-3,-4.899999872E-2
1.160000000E0,4.100000020E-3,5.799999926E-3,-8.829999715E-2
1.170000000E0,-2.899999963E-3,2.899999963E-3,-5.879999697E-2
1.180000000E0,-1.999999862E-3,1.999999862E-3,-6.859999895E-2
1.190000000E0,5.599999800E-3,1.500000013E-3,-7.840000093E-2
1.200000000E0,1.169999968E-2,1.399999950E-3,-8.819999546E-2
1.210000000E0,-5.799999926E-3,8.399999700E-3,-6.859999895E-2
1.220000000E0,-4.799999762E-3,-7.999999798E-4,-8.819999546E-2
