"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
0.000000000E0,2.700999975E0,-1.658599973E0,-2.560999990E-1,3.179927978E0
1.000000000E-2,-9.999999311E-4,9.999999747E-5,-9.860000014E-2,9.860512171E-2
2.000000000E-2,-9.999999311E-4,-9.099999443E-3,-9.860000014E-2,9.902408807E-2
3.000156300E-2,-9.999999311E-4,5.999999703E-4,-8.879999816E-2,8.880765549E-2
4.000156300E-2,-9.399999864E-3,4.999999655E-4,-7.899999619E-2,7.955884234E-2
5.000000000E-2,8.200000040E-3,8.599999361E-3,-7.899999619E-2,7.988866870E-2
6.000000000E-2,-1.300000004E-3,-8.799999952E-3,-7.899999619E-2,7.949924148E-2
7.000000000E-2,6.599999964E-3,6.999999750E-4,-8.879999816E-2,8.904768202E-2
8.000000000E-2,-2.499999944E-3,5.999999703E-4,-6.920000166E-2,6.924774530E-2
9.000000000E-2,5.599999800E-3,4.999999655E-4,-8.879999816E-2,8.897780438E-2
1.000015630E-1,-3.499999875E-3,-1.519999932E-2,-8.879999816E-2,9.015946790E-2
1.100000000E-1,-2.899999963E-3,3.499999875E-3,-8.879999816E-2,8.891625089E-2
1.200000000E-1,-2.499999944E-3,2.699999837E-3,-7.899999619E-2,7.908564595E-2
1.300000000E-1,5.399999674E-3,-1.310000010E-2,-7.899999619E-2,8.026063416E-2
1.400000000E-1,1.139999926E-2,-2.399999881E-3,-6.909999996E-2,7.007517376E-2
1.500000000E-1,-1.649999991E-2,-1.099999994E-3,-7.889999449E-2,8.061432334E-2
1.600000000E-1,-1.310000010E-2,7.100000046E-3,-7.899999619E-2,8.039290641E-2
1.700015630E-1,-3.399999812E-3,-2.899999963E-3,-6.920000166E-2,6.934414343E-2
1.800000000E-1,1.219999976E-2,-2.300000051E-3,-6.909999996E-2,7.020640989E-2
1.900000000E-1,-1.370000001E-2,-1.599999960E-3,-7.899999619E-2,8.019507090E-2
2.000000000E-1,-3.199999919E-3,6.399999838E-3,-7.899999619E-2,7.932338492E-2
2.100000000E-1,4.799999762E-3,-9.999999776E-3,-6.909999996E-2,6.998464109E-2
2.200000000E-1,-3.999999724E-3,-7.599999662E-3,-6.920000166E-2,6.973091296E-2
