"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
0.000000000E0,5.299999844E-3,1.359999925E-2,-8.889999986E-2
1.000000000E-2,-1.500000013E-3,0.000000000E0,-9.919999540E-2
2.000000000E-2,-1.500000013E-3,0.000000000E0,-1.188999936E-1
3.000000000E-2,-1.059999969E-2,0.000000000E0,-1.188999936E-1
4.000000000E-2,-8.999999845E-4,0.000000000E0,-8.949999511E-2
5.000000000E-2,-9.999999311E-4,0.000000000E0,-1.188999936E-1
6.000000000E-2,-9.099999443E-3,0.000000000E0,-8.949999511E-2
7.000000000E-2,7.999999449E-3,7.699999958E-3,-7.959999889E-2
8.000000000E-2,6.000000052E-3,-1.500000013E-3,-7.959999889E-2
9.000000000E-2,-3.399999812E-3,1.509999949E-2,-1.187999994E-1
1.000000000E-1,4.900000058E-3,-3.599999938E-3,-1.187999994E-1
1.100000000E-1,-3.999999724E-3,-2.899999963E-3,-8.940000087E-2
1.200000000E-1,1.249999925E-2,-2.300000051E-3,-1.187999994E-1
1.300000000E-1,-1.349999942E-2,-1.799999969E-3,-8.940000087E-2
1.400000000E-1,-1.109999977E-2,-9.300000034E-3,-9.929999709E-2
1.500000000E-1,-4.999999655E-4,2.999999851E-4,-9.929999709E-2
1.600000000E-1,6.499999668E-3,2.999999851E-4,-6.979999691E-2
1.700000000E-1,-2.699999837E-3,2.999999851E-4,-1.089999974E-1
1.800000000E-1,-2.499999944E-3,9.999999747E-5,-8.940000087E-2
1.900000000E-1,-2.600000007E-3,3.999999899E-4,-9.919999540E-2
2.000000000E-1,5.299999844E-3,3.999999899E-4,-9.919999540E-2
2.100000000E-1,-1.129999943E-2,2.999999851E-4,-7.959999889E-2
2.200000000E-1,6.199999712E-3,2.999999851E-4,-9.919999540E-2
2.300000000E-1,-3.000000026E-3,1.999999949E-4,-6.979999691E-2
2.400000000E-1,4.900000058E-3,1.999999949E-4,-7.959999889E-2
2.500000000E-1,-4.100000020E-3,2.999999851E-4,-7.959999889E-2
2.600000000E-1,-3.419999778E-2,-6.879999489E-2,-7.979999483E-2
2.700000000E-1,-4.479999840E-2,-3.323999941E-1,-8.959999681E-2
2.800000000E-1,-8.379999548E-2,-3.278000057E-1,-7.000000030E-2
2.900000000E-1,-6.340000033E-2,-2.238999903E-1,-7.979999483E-2
3.000000000E-1,-5.249999836E-2,-1.297999918E-1,-1.092999950E-1
3.100000000E-1,-3.179999813E-2,-3.659999743E-2,-7.989999652E-2
3.200000000E-1,7.999999449E-3,2.579999901E-2,-9.950000048E-2
3.300000000E-1,-1.199999941E-3,3.819999844E-2,-7.989999652E-2
3.400000000E-1,2.829999849E-2,1.080999970E-1,-9.950000048E-2
3.500000000E-1,2.829999849E-2,9.849999845E-2,-9.950000048E-2
3.600000000E-1,1.819999889E-2,1.173999980E-1,-7.989999652E-2
3.700000000E-1,4.699999839E-2,2.133999914E-1,-8.969999850E-2
3.800000000E-1,4.619999975E-2,2.201000005E-1,-7.989999652E-2
3.900000000E-1,5.499999970E-2,2.064999938E-1,-8.959999681E-2
4.000000000E-1,4.409999773E-2,1.922999918E-1,-8.959999681E-2
4.100000000E-1,5.269999802E-2,1.876999885E-1,-7.979999483E-2
4.200000000E-1,6.119999662E-2,1.344999969E-1,-9.929999709E-2
4.300000000E-1,3.049999848E-2,1.303000003E-1,-7.970000058E-2
4.400000000E-1,2.939999849E-2,8.729999512E-2,-8.949999511E-2
4.500000000E-1,8.799999952E-3,1.569999941E-2,-9.929999709E-2
4.600000000E-1,-9.999999311E-4,1.209999993E-2,-7.959999889E-2
4.700000000E-1,2.249999903E-2,4.949999973E-2,-9.919999540E-2
4.800000000E-1,-4.999999888E-3,3.999999899E-4,-5.020000041E-2
4.900000000E-1,-4.699999932E-3,3.999999899E-4,-1.384000033E-1
5.000000000E-1,-1.960000023E-2,1.999999949E-4,-8.949999511E-2
5.100000000E-1,-2.999999851E-4,-7.199999876E-3,-6.979999691E-2
5.200000000E-1,-5.999999703E-4,-5.899999756E-3,-9.929999709E-2
5.300000000E-1,-1.500000013E-3,3.700000001E-3,-5.999999866E-2
5.400000000E-1,2.309999987E-2,3.199999919E-3,-1.286000013E-1
5.500000000E-1,2.300000051E-3,2.499999944E-3,-6.969999522E-2
5.600000000E-1,-6.199999712E-3,1.999999862E-3,-7.959999889E-2
5.700000000E-1,2.600000007E-3,1.699999906E-3,-1.286000013E-1
5.800000000E-1,1.699999906E-3,1.300000004E-3,-6.969999522E-2
5.900000000E-1,-7.100000046E-3,1.099999994E-3,-1.187999994E-1
6.000000000E-1,-1.349999942E-2,7.999999798E-4,-7.959999889E-2
6.100000000E-1,-3.199999919E-3,5.999999703E-4,-8.940000087E-2
6.200000000E-1,-2.899999963E-3,4.999999655E-4,-7.959999889E-2
6.300000000E-1,-2.399999881E-3,2.999999851E-4,-5.999999866E-2
6.400000000E-1,-1.229999959E-2,2.999999851E-4,-1.089999974E-1
6.500000000E-1,-1.239999942E-2,2.999999851E-4,-6.979999691E-2
6.600000000E-1,-2.600000007E-3,3.999999899E-4,-6.979999691E-2
6.700015630E-1,-2.699999837E-3,3.999999899E-4,-9.919999540E-2
6.800000000E-1,-2.229999937E-2,-1.909999922E-2,-8.940000087E-2
6.900000000E-1,-2.229999937E-2,-9.200000204E-3,-6.979999691E-2
7.000000000E-1,-1.260000002E-2,4.999999655E-4,-7.959999889E-2
7.100000000E-1,-1.269999985E-2,5.999999703E-4,-8.940000087E-2
7.200000000E-1,-2.899999963E-3,5.999999703E-4,-7.959999889E-2
7.300000000E-1,-3.099999856E-3,5.999999703E-4,-6.979999691E-2
7.400000000E-1,6.599999964E-3,6.999999750E-4,-9.919999540E-2
7.500000000E-1,6.499999668E-3,1.049999986E-2,-7.959999889E-2
7.600000000E-1,6.399999838E-3,6.999999750E-4,-7.959999889E-2
7.700000000E-1,-3.399999812E-3,7.999999798E-4,-8.940000087E-2
7.800000000E-1,6.300000008E-3,8.999999845E-4,-7.959999889E-2
7.900000000E-1,-1.329999976E-2,7.999999798E-4,-8.940000087E-2
8.000000000E-1,6.099999882E-3,7.999999798E-4,-9.919999540E-2
8.100000000E-1,6.099999882E-3,7.999999798E-4,-9.919999540E-2
8.200000000E-1,-3.599999938E-3,7.999999798E-4,-9.919999540E-2
8.300000000E-1,-3.700000001E-3,6.999999750E-4,-7.959999889E-2
8.400000000E-1,-1.349999942E-2,7.999999798E-4,-8.940000087E-2
8.500000000E-1,-3.799999831E-3,7.999999798E-4,-9.919999540E-2
8.600000000E-1,-3.899999894E-3,8.999999845E-4,-7.959999889E-2
8.700000000E-1,-3.999999724E-3,8.999999845E-4,-7.959999889E-2
8.800000000E-1,-4.100000020E-3,8.999999845E-4,-8.940000087E-2
8.900000000E-1,-4.100000020E-3,1.099999994E-3,-8.940000087E-2
9.000000000E-1,-1.389999967E-2,1.099999994E-3,-8.940000087E-2
9.100000000E-1,5.499999970E-3,1.199999941E-3,-8.940000087E-2
9.200000000E-1,-1.399999950E-2,1.199999941E-3,-7.959999889E-2
9.300000000E-1,-1.409999933E-2,1.099999994E-3,-8.940000087E-2
9.400000000E-1,-4.399999976E-3,1.099999994E-3,-8.940000087E-2
9.500031250E-1,-4.499999806E-3,1.099999994E-3,-8.940000087E-2
9.600000000E-1,-4.600000102E-3,1.199999941E-3,-6.979999691E-2
9.700000000E-1,5.099999718E-3,1.199999941E-3,-8.940000087E-2
9.800000000E-1,-1.449999958E-2,-1.809999906E-2,-8.940000087E-2
9.900000000E-1,-1.459999941E-2,1.599999960E-3,-8.940000087E-2
1.000000000E0,-4.900000058E-3,1.599999960E-3,-7.959999889E-2
1.010000000E0,-4.999999888E-3,1.599999960E-3,-7.959999889E-2
1.020000000E0,-1.480000000E-2,1.500000013E-3,-9.919999540E-2
1.030000000E0,4.600000102E-3,1.599999960E-3,-6.979999691E-2
1.040000000E0,4.499999806E-3,1.139999926E-2,-7.959999889E-2
1.050000000E0,4.399999976E-3,1.799999969E-3,-7.959999889E-2
1.060000000E0,-5.399999674E-3,1.899999916E-3,-7.959999889E-2
