"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
1.478510000E-1,-3.351032268E-3,-1.195550524E-2,2.286381321E-3
1.508510000E-1,1.466076588E-3,1.919862116E-4,-1.047197584E-4
1.548510000E-1,2.443460980E-4,1.919862116E-4,-1.326450263E-3
1.588510000E-1,2.443460980E-4,1.413716702E-3,1.099557383E-3
1.628556880E-1,1.466076588E-3,1.413716702E-3,-1.326450263E-3
1.668510000E-1,1.466076588E-3,-1.012290944E-3,1.099557383E-3
1.708510000E-1,-9.599310579E-4,1.919862116E-4,-1.047197584E-4
1.748510000E-1,1.466076588E-3,2.652900526E-3,1.085594762E-2
1.788510000E-1,1.466076588E-3,2.652900526E-3,7.190756500E-3
1.828510000E-1,-9.599310579E-4,2.094395168E-4,4.747295752E-3
1.868510000E-1,2.443460980E-4,2.652900526E-3,1.818633080E-2
1.908510000E-1,7.504915702E-4,1.256637042E-3,2.478367416E-3
1.948510000E-1,4.712388909E-4,4.363323096E-4,-4.363323096E-4
1.988510000E-1,6.806784077E-4,6.806784077E-4,-4.363323096E-4
2.028510000E-1,5.934119690E-4,2.967059845E-4,-5.759586347E-4
2.068510000E-1,4.188790335E-4,1.919862116E-4,-7.679448463E-4
2.108510000E-1,8.726646047E-5,1.518436475E-3,-3.665191471E-4
2.148510000E-1,0.000000000E0,1.413716702E-3,-7.155850180E-4
2.188510000E-1,1.221730490E-4,1.692969352E-3,-8.028514567E-4
2.228510000E-1,1.047197497E-3,6.981316837E-4,-8.377580671E-4
2.268510000E-1,5.410520826E-4,1.343903481E-3,-8.377580671E-4
2.308510000E-1,1.012290944E-3,1.378810150E-3,5.235987919E-5
2.348510000E-1,1.134464052E-3,1.221730490E-3,1.029744279E-3
2.388510000E-1,1.623156248E-3,4.363323096E-4,-1.919862116E-4
2.428510000E-1,6.806784077E-4,2.268928074E-4,-1.134464052E-3
2.468510000E-1,7.504915702E-4,-1.047197584E-4,-1.361356815E-3
2.508510000E-1,1.064650831E-3,-5.235987919E-5,-1.431170036E-3
2.548510000E-1,8.377580671E-4,9.948377265E-4,-1.134464052E-3
2.588510000E-1,3.490658419E-4,8.377580671E-4,-5.585053470E-3
2.628697500E-1,9.599310579E-4,6.283185212E-4,-1.380555425E-2
2.668510000E-1,6.632251316E-4,4.363323096E-4,-2.138028294E-2
2.708510000E-1,4.363323096E-4,5.235987483E-4,-3.312635049E-2
2.748510000E-1,-5.235987919E-5,4.014257283E-4,-4.434881732E-2
2.788510000E-1,1.605702913E-3,2.268928074E-4,-5.974261835E-2
2.828510000E-1,2.268928074E-4,4.712388909E-4,-7.459536940E-2
2.868510000E-1,3.490658492E-5,3.839724232E-4,-8.751080930E-2
2.908510000E-1,1.221730490E-4,5.235987483E-4,-9.824458510E-2
2.948510000E-1,7.504915702E-4,1.047197584E-4,-1.111425683E-1
2.988510000E-1,1.745329246E-5,2.967059845E-4,-1.209687665E-1
3.028510000E-1,2.792526793E-4,-5.410520826E-4,-1.282118857E-1
3.068510000E-1,3.316125658E-4,-4.712388909E-4,-1.347394139E-1
3.108510000E-1,6.632251316E-4,5.934119690E-4,-1.414414793E-1
3.148510000E-1,1.797689125E-3,5.759586347E-4,-1.431693584E-1
3.188510000E-1,1.797689125E-3,2.617993741E-4,-1.458746195E-1
3.228510000E-1,2.234021435E-3,-2.443460980E-4,-1.443387270E-1
3.268510000E-1,2.059488557E-3,-3.839724232E-4,-1.469392627E-1
3.308510000E-1,1.710422686E-3,1.570796303E-4,-1.455080956E-1
3.348510000E-1,1.762782573E-3,0.000000000E0,-1.427330226E-1
3.388510000E-1,1.937315450E-3,-4.712388909E-4,-1.379333735E-1
3.428510000E-1,1.675516134E-3,-1.047197497E-3,-1.362404078E-1
3.468510000E-1,1.151917269E-3,-2.967059845E-4,-1.296081543E-1
3.508510000E-1,8.726646192E-4,3.490658492E-5,-1.301492006E-1
3.548510000E-1,1.099557383E-3,1.221730490E-4,-1.262222081E-1
3.588510000E-1,1.902408898E-3,-5.934119690E-4,-1.236914843E-1
3.628510000E-1,7.679448463E-4,2.617993741E-4,-1.194328815E-1
3.668510000E-1,1.221730490E-3,-2.443460980E-4,-1.142492518E-1
3.708510000E-1,1.797689125E-3,5.061454722E-4,-1.073377505E-1
3.748510000E-1,1.029744279E-3,2.443460980E-4,-1.013163626E-1
3.788510000E-1,9.948377265E-4,1.745329209E-4,-9.597565234E-2
3.828510000E-1,5.235987483E-4,1.064650831E-3,-8.857546002E-2
3.868510000E-1,4.014257283E-4,8.552113432E-4,-8.286823332E-2
3.908510000E-1,-6.632251316E-4,3.490658492E-5,-7.611380517E-2
3.948510000E-1,-1.919862116E-4,-1.745329246E-5,-6.998769939E-2
3.988510000E-1,2.094395168E-4,1.047197584E-4,-6.342526525E-2
4.028510000E-1,3.316125658E-4,-1.396263397E-4,-5.839871615E-2
4.068510000E-1,8.028514567E-4,3.665191471E-4,-5.211552978E-2
4.108510000E-1,1.378810150E-3,2.094395168E-4,-4.597197101E-2
4.148510000E-1,6.283185212E-4,9.250245057E-4,-3.939208016E-2
4.188510000E-1,-1.570796303E-4,5.061454722E-4,-3.422590718E-2
4.228510000E-1,-6.632251316E-4,2.443460980E-4,-2.865830623E-2
4.268510000E-1,-3.490658492E-5,1.082104165E-3,-2.268928103E-2
4.308510000E-1,1.047197584E-4,4.014257283E-4,-1.663298719E-2
