"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
7.939491000E-3,-1.731999964E-1,-4.777999818E-1,3.814999759E-1
1.793949100E-2,2.199999988E-2,-6.300000008E-3,-3.452000022E-1
2.793949100E-2,2.180000022E-2,7.989999652E-2,-2.176999897E-1
3.793949100E-2,3.299999982E-2,6.459999830E-2,3.689999878E-2
4.793949100E-2,2.829999849E-2,6.570000201E-2,9.559999406E-2
5.793949100E-2,4.039999843E-2,-2.199999988E-3,1.048999950E-1
6.793949100E-2,-3.280000016E-2,-2.620000020E-2,9.539999813E-2
7.793949100E-2,3.000000026E-3,-7.449999452E-2,-4.900000058E-3
8.793949100E-2,-1.469999924E-2,1.249999925E-2,-2.302999943E-1
9.793949100E-2,-3.119999915E-2,2.060000040E-2,-3.281999826E-1
1.079394910E-1,1.023999974E-1,6.570000201E-2,-4.655999839E-1
1.179394910E-1,1.366000026E-1,8.989999443E-2,-5.442000031E-1
1.279394910E-1,-7.009999454E-2,7.180000097E-2,-1.306999922E-1
1.379394910E-1,-4.769999906E-2,8.389999717E-2,3.107999861E-1
1.479394910E-1,-6.390000135E-2,1.680999994E-1,3.799999952E-1
1.579394910E-1,-4.479999840E-2,9.279999882E-2,-1.899999916E-3
1.679394910E-1,-1.349999942E-2,4.899999872E-2,-1.682000011E-1
1.779394910E-1,3.529999778E-2,-1.402999908E-1,-3.348999918E-1
1.879394910E-1,7.679999620E-2,-5.489999801E-2,-4.228999913E-1
1.979394910E-1,-4.429999739E-2,1.439999975E-2,-1.477999985E-1
2.079394910E-1,-3.489999771E-1,-3.816999793E-1,-2.451999933E-1
2.179394910E-1,2.495999932E-1,4.608999789E-1,1.176999956E-1
2.279394910E-1,1.045999974E-1,1.432999969E-1,6.861999631E-1
2.379394910E-1,-4.580000043E-2,4.779999703E-2,3.134000003E-1
2.479394910E-1,-6.069999933E-2,4.839999974E-2,-1.764999926E-1
2.579394910E-1,-1.079999935E-2,-3.079999983E-2,-2.646999955E-1
2.679394910E-1,3.610000014E-2,1.523000002E-1,-2.060000002E-1
2.779394910E-1,-6.159999967E-2,5.379999802E-2,-5.889999866E-2
2.879394910E-1,9.099999443E-3,-1.290999949E-1,2.939999849E-2
2.979394910E-1,1.166999936E-1,-2.707000077E-1,2.929999866E-2
3.079394910E-1,-2.209999971E-2,-3.280000016E-2,-7.859999686E-2
3.179394910E-1,2.363999933E-1,7.699999958E-3,7.347999811E-1
3.279394910E-1,-1.473999918E-1,2.445999980E-1,1.959899902E0
3.379394910E-1,-2.531999946E-1,-9.820999503E-1,-1.179799914E0
3.479394910E-1,2.069999874E-1,5.637999773E-1,-9.742999673E-1
3.579394910E-1,1.009999961E-2,3.696999848E-1,2.712999880E-1
3.679394910E-1,-1.225999966E-1,5.263000131E-1,1.153100014E0
3.779394910E-1,1.472000033E-1,7.351999879E-1,2.395999879E-1
3.879394910E-1,2.398999929E-1,1.158599973E0,-6.589999795E-2
3.979394910E-1,2.078000009E-1,1.658599973E0,-2.446999997E-1
4.079394910E-1,4.059999809E-2,1.886699915E0,-1.110100031E0
4.179394910E-1,3.099999856E-3,1.969699979E0,-1.083099961E0
4.279394910E-1,-2.290000021E-2,2.539399862E0,-2.514999807E-1
4.379394910E-1,1.319999993E-1,2.440199852E0,5.695999861E-1
4.479394910E-1,1.490999907E-1,2.747299910E0,8.202999830E-1
4.579394910E-1,5.048999786E-1,3.517599821E0,-9.579999745E-2
4.679394910E-1,9.864999652E-1,4.286600113E0,-7.170999646E-1
4.779394910E-1,1.408100009E0,4.370399952E0,-7.440000027E-2
4.879394910E-1,7.835999727E-1,4.707499981E0,2.236000001E-1
4.979394910E-1,-2.364999950E-1,4.679199696E0,1.191999987E-1
5.079394910E-1,-1.578499913E0,4.742899895E0,1.310999990E-1
5.179394910E-1,-2.716799974E0,4.801799774E0,4.615999758E-1
5.279394910E-1,-2.851399899E0,4.566499710E0,1.496599913E0
5.379394910E-1,-2.071799994E0,3.972999811E0,5.992999673E-1
5.479394910E-1,-2.926000059E-1,3.234099865E0,-8.944999576E-1
5.579394910E-1,8.535999656E-1,3.683099985E0,-1.779699922E0
5.679394910E-1,1.652300000E0,3.640499830E0,-2.489599943E0
5.779394910E-1,9.736999869E-1,3.674099922E0,-1.957699895E0
5.879394910E-1,3.146999776E-1,3.139999866E0,4.943999946E-1
