"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.929631000E-3,-3.999999899E-4,0.000000000E0,-4.939999804E-2,4.940161745E-2
1.292963100E-2,-9.200000204E-3,0.000000000E0,-3.959999979E-2,4.065464287E-2
2.292963100E-2,-7.899999619E-3,0.000000000E0,-4.939999804E-2,5.002769033E-2
3.292963100E-2,1.399999950E-3,0.000000000E0,-4.939999804E-2,4.941983211E-2
4.292963100E-2,8.599999361E-3,0.000000000E0,-4.939999804E-2,5.014299348E-2
5.292963100E-2,-7.499999832E-3,0.000000000E0,-2.979999967E-2,3.072930162E-2
6.292963100E-2,-1.999999955E-2,0.000000000E0,-3.969999775E-2,4.445323165E-2
7.292963100E-2,6.599999964E-3,-9.999999747E-5,-3.959999979E-2,4.014635703E-2
8.292963100E-2,4.900000058E-3,-9.999999747E-5,-4.939999804E-2,4.964252015E-2
9.292963100E-2,-3.700000001E-3,-9.999999747E-5,-4.939999804E-2,4.953846794E-2
1.029296310E-1,-3.099999856E-3,-9.999999747E-5,-6.909999996E-2,6.916957419E-2
1.129296310E-1,-9.599999525E-3,-9.999999747E-5,-4.949999973E-2,5.042241530E-2
1.229296310E-1,0.000000000E0,0.000000000E0,-5.929999799E-2,5.929999799E-2
1.329296310E-1,-7.199999876E-3,0.000000000E0,-4.949999973E-2,5.002089535E-2
1.429296310E-1,1.699999906E-3,0.000000000E0,-4.949999973E-2,4.952918305E-2
1.529296310E-1,-5.799999926E-3,0.000000000E0,-3.969999775E-2,4.012143842E-2
1.629296310E-1,1.740000024E-2,9.999999747E-5,-4.949999973E-2,5.246922891E-2
1.729296310E-1,-1.599999960E-3,0.000000000E0,-4.949999973E-2,4.952585157E-2
1.829296310E-1,-1.300000004E-3,0.000000000E0,-4.949999973E-2,4.951706750E-2
1.929296310E-1,-1.399999950E-3,0.000000000E0,-5.929999799E-2,5.931652182E-2
2.029296310E-1,-1.399999950E-3,0.000000000E0,-3.969999775E-2,3.972467522E-2
2.129296310E-1,-1.099999994E-3,-1.999999949E-4,-4.949999973E-2,4.951262438E-2
2.229296310E-1,-1.099999994E-3,-9.999999747E-5,-4.949999973E-2,4.951232143E-2
2.329296310E-1,8.799999952E-3,9.999999747E-5,-3.969999775E-2,4.066374086E-2
2.429296310E-1,-1.099999994E-3,9.999999747E-5,-5.929999799E-2,5.931028377E-2
2.529296310E-1,8.399999700E-3,0.000000000E0,-4.949999973E-2,5.020766842E-2
2.629296310E-1,-1.500000013E-3,0.000000000E0,-5.929999799E-2,5.931896628E-2
2.729296310E-1,-1.129999943E-2,0.000000000E0,-4.949999973E-2,5.077341785E-2
2.829296310E-1,-8.999999845E-4,3.999999899E-4,-4.949999973E-2,4.950979674E-2
2.929296310E-1,-5.999999703E-4,3.999999899E-4,-3.969999775E-2,3.970654633E-2
3.029296310E-1,-1.469999924E-2,2.999999851E-4,-5.929999799E-2,6.109557872E-2
