"Time (s)" "Gyroscope x (rad/s)" "Gyroscope y (rad/s)" "Gyroscope z (rad/s)"
1.490379080E-1 -1.526639462E-1 2.434734255E-2 -1.394518018E-1
1.500379080E-1 -9.023351967E-2 -4.590216093E-3 6.832963973E-2
1.540379080E-1 -8.166395873E-2 6.747443229E-2 5.366887525E-2
1.580379080E-1 -4.256857932E-2 7.480481267E-2 3.778637946E-2
1.620379080E-1 8.726646192E-3 6.014404446E-2 2.190388180E-2
1.660379080E-1 4.904375225E-2 8.213519305E-2 1.090830751E-2
1.700379080E-1 7.714354992E-2 1.224522963E-1 -2.513274085E-3
1.740379080E-1 1.113520041E-1 1.273392290E-1 -1.308996929E-3
1.780379080E-1 1.394518018E-1 8.580038697E-2 -8.726646047E-5
1.820379080E-1 1.541125774E-1 1.616174914E-2 -2.530727303E-3
1.860379080E-1 1.504473835E-1 -4.002039880E-2 -8.726646047E-5
1.900379080E-1 1.089085415E-1 -6.201154739E-2 -1.308996929E-3
1.940379080E-1 9.044296294E-2 -5.234242231E-2 -3.612831468E-3
1.980410330E-1 3.738495335E-2 -4.860742018E-2 -5.811946467E-3
2.020379080E-1 -2.265437320E-2 -4.822344705E-2 3.228859045E-3
2.060379080E-1 -7.429866493E-2 -5.909684673E-2 1.237438433E-2
2.100379080E-1 -1.112647429E-1 -8.122762293E-2 2.378883772E-2
2.140379080E-1 -1.281246245E-1 -1.145285070E-1 3.625048697E-2
2.180410330E-1 -1.311614960E-1 -1.449146867E-1 4.598942399E-2
2.220379080E-1 -1.224522963E-1 -1.566258520E-1 5.138249323E-2
2.260379080E-1 -1.102524474E-1 -1.366418302E-1 5.743878707E-2
2.300379080E-1 -9.698794782E-2 -8.806931227E-2 6.084217876E-2
2.340379080E-1 -7.126179338E-2 -2.375393175E-2 5.886995420E-2
2.380379080E-1 -3.625048697E-2 2.794272080E-2 5.684537441E-2
2.420379080E-1 8.395033889E-3 7.120943069E-2 4.925319180E-2
2.460379080E-1 5.331980810E-2 1.032885835E-1 3.567453101E-2
2.500379080E-1 1.012989059E-1 1.167799830E-1 1.933824830E-2
2.540379080E-1 1.419825405E-1 1.046324894E-1 6.632251199E-3
2.580379080E-1 1.625250578E-1 8.592256159E-2 -5.078908056E-3
2.620379080E-1 1.551074088E-1 8.630653471E-2 -1.551597659E-2
2.660379080E-1 1.290670931E-1 9.276425093E-2 -2.591813914E-2
2.700379080E-1 9.440486133E-2 7.881906629E-2 -2.668608353E-2
2.740379080E-1 5.166174471E-2 3.197443113E-2 -2.206096239E-2
2.780379080E-1 1.010545623E-2 -1.279326342E-2 -1.483529899E-2
2.820379080E-1 -4.045673087E-2 -3.003711626E-2 -5.707226694E-3
2.860379080E-1 -8.166395873E-2 -4.441862926E-2 4.328416660E-3
2.900379080E-1 -1.052084491E-1 -8.759807795E-2 1.776745170E-2
2.940379080E-1 -1.164309159E-1 -1.385093331E-1 2.761110850E-2
2.980394700E-1 -1.219286993E-1 -1.507440805E-1 3.558726236E-2
3.020410330E-1 -1.205149814E-1 -1.226268336E-1 4.745550081E-2
3.060410330E-1 -1.106538773E-1 -7.897614688E-2 5.478588492E-2
3.100379080E-1 -8.777260780E-2 -3.897320107E-2 5.937610194E-2
3.140379080E-1 -4.824090004E-2 -1.740093343E-2 6.105161831E-2
3.180379080E-1 -5.759586347E-4 8.779006079E-3 5.155702680E-2
3.220379080E-1 3.937462717E-2 5.113814771E-2 3.356268257E-2
3.260379080E-1 7.733553648E-2 8.136724681E-2 1.171115879E-2
3.300379080E-1 1.156978756E-1 7.405432314E-2 -7.976154797E-3
3.340394700E-1 1.437802166E-1 4.033455998E-2 -1.973967440E-2
3.380379080E-1 1.481086463E-1 2.759365551E-2 -3.063052893E-2
3.420410330E-1 1.254542619E-1 4.670501128E-2 -4.009021446E-2
3.460379080E-1 8.594001085E-2 6.724753231E-2 -4.813618213E-2
3.500379080E-1 3.755948693E-2 6.447245926E-2 -5.127777159E-2
3.540379080E-1 -4.101523664E-3 4.267330095E-2 -5.030038953E-2
3.580379080E-1 -4.235913977E-2 1.651081443E-2 -4.551818594E-2
3.620379080E-1 -6.981316954E-2 -2.926917188E-2 -4.187044874E-2
3.660379080E-1 -8.403760195E-2 -7.752752304E-2 -3.295181692E-2
3.700379080E-1 -9.662142396E-2 -1.015781611E-1 -1.902408898E-2
3.740379080E-1 -1.008102149E-1 -9.278170019E-2 -1.101302728E-2
3.780379080E-1 -9.693558514E-2 -5.962044746E-2 -3.961897455E-3
3.820379080E-1 -7.471754402E-2 -3.782128543E-2 2.670353744E-3
3.860394700E-1 -3.579670191E-2 -4.178318381E-2 8.325220086E-3
3.900410330E-1 6.108652335E-3 -5.009094998E-2 9.651671164E-3
3.940379080E-1 4.550073296E-2 -3.735004738E-2 3.368485486E-3
3.980379080E-1 7.052875310E-2 -1.684242673E-2 -3.822271014E-3
4.020379080E-1 8.457865566E-2 -3.682644805E-3 -1.202531811E-2
4.060379080E-1 8.583529294E-2 1.944296807E-2 -1.132718660E-2
4.100394700E-1 6.962118298E-2 5.017821491E-2 -6.003932562E-3
4.140379080E-1 4.818854108E-2 6.771877408E-2 -8.063420653E-3
4.180379080E-1 2.576106042E-2 5.752605200E-2 -1.282817032E-2
4.220379080E-1 3.647738136E-3 4.309218004E-2 -1.513200440E-2
4.260379080E-1 -1.610938832E-2 3.197443113E-2 -1.408480667E-2
4.300379080E-1 -3.179989755E-2 8.290314116E-3 -1.062905509E-2
4.340379080E-1 -4.340633750E-2 -4.817108624E-3 -4.782202188E-3
4.380379080E-1 -5.321509019E-2 4.380776547E-3 4.415682983E-3
4.420379080E-1 -5.368632823E-2 1.361356769E-2 1.525417715E-2
4.460379080E-1 -4.115486518E-2 8.482299745E-3 2.108357660E-2
4.500379080E-1 -2.401573025E-2 6.963863503E-3 2.291617356E-2
4.540379080E-1 -6.457718089E-3 1.921607554E-2 1.961750165E-2
4.580379080E-1 1.284562331E-2 2.815216035E-2 9.581857361E-3
4.620379080E-1 3.700098023E-2 1.755801216E-2 -7.173303049E-3
4.660379080E-1 6.003932655E-2 -9.302604944E-3 -2.658136375E-2
4.700379080E-1 7.295475900E-2 -2.895501256E-2 -4.672246426E-2
4.740379080E-1 6.852162629E-2 -3.380702808E-2 -4.942772537E-2
4.780379080E-1 5.094616115E-2 -2.136282995E-2 -4.468042776E-2
